date,volumeUSD,totalValueLockedUSD,priceUSD,feesUSD,open,high,low,close,token_id
2022-07-22,28255496.58256363,961118928.011836,1.0,24203.73393383796,1.0,1.0011996457713848,0.9981552204088509,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-21,49426909.11957743,903180800.0260727,1.0,43655.338775912445,1.0,1.0000195674007148,0.9998350387571442,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-20,72989728.70667152,909248775.8167117,1.0,50603.70762304816,1.0,1.0027357623059243,0.9979993171643416,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-19,46297243.76274121,930110567.9969205,1.0,45774.67395211923,1.0,1.0018288210566435,0.9995896822604508,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-18,93254781.57173651,936193945.9928346,1.0,78234.50989112377,1.0,1.0003186330917244,0.9993384391847038,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-17,45984640.62412976,870357566.8605332,1.0,56853.561649648655,1.0,1.0003786707387463,0.9988984740346116,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-16,52578586.01292026,763234012.016827,1.0,65515.35362069528,1.0,1.0008116699467564,0.9992970400547412,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-15,78531961.54327898,732752780.5521854,1.0,67875.64741145297,1.0,1.000420167766886,0.9999974506647198,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-14,38670334.2019112,691773423.1403905,1.0,39556.71088820688,1.0,1.0,0.9999507266538183,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-13,55200332.12456524,690117889.7135993,1.0,65406.83296445391,1.0,1.000400764558525,0.9998835174595808,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-12,62401136.36960173,688874037.4859643,1.0,50304.28214930338,1.0,1.00040945701466,0.9997632460618961,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-11,57819913.60720411,688816532.1113544,1.0,42829.38153089956,1.0,1.0011823469956551,0.999999356259547,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-10,73808768.4481982,715204975.9029709,1.0,27530.70384600195,1.0,1.0000005423729137,0.9993269676361904,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-09,13537334.02022806,808504925.0687236,1.0,12825.261412265343,1.0,1.0001159405395215,0.9999820706789968,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-08,47859405.78313569,786085936.6762726,1.0,44937.95383867219,1.0,1.0008197128054743,0.9997098369097458,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-07,43008506.964908026,787101958.9237729,1.0,31533.704171954476,1.0,1.0000467365871528,0.9991156219984612,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-06,42483577.06046772,819552632.0934272,1.0,59207.04534592834,1.0,1.0005006345762832,0.998750274236563,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-05,75245407.41451916,815949847.6266804,1.0,59087.855237351294,1.0,1.002523232438978,0.998679906204944,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-04,53900686.81367946,787844360.0193218,1.0,42962.28440736141,1.0,1.0001598844134492,0.9948544321132514,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-03,46040860.06652584,778139399.0674666,1.0,36770.94878048919,1.0,1.0003119207181423,0.9998598416982,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
