id,totalValueLockedUSD,token0,token1,feeTier,volumeUSD,liquidity,token0Price,token1Price,volumeToken0,volumeToken1,feesUSD,createdAtTimestamp,createdAtBlockNumber,totalValueLockedToken0,totalValueLockedToken1
0x7a6afca7d92f457d8b01061c816f7d5babaa4a03,4981.322369,USDT,MTO,10000,976263.9667580951370623777040032402,369719953545952,0.03760842762705598466305930297966227,26.58978487259560908345465999129896,976334.028314,2796663.481013853796013637,9762.639667580951370623777040032402,1625923511,12799910,4981.322369,18077.799596387169007063
0x8c3a9acda062d36b912a1eb60391d0c8e27311ad,4972.631741246986045409718297947319,TRU,WETH,10000,2947679.237410273791903865370929378,2810199145904667,22038.98186357436089612907843585724,0.00004537414687258227198901212801093386,5450885.4984963,786.274591230667227437,29476.79237410273791903865370929378,1622439127,12540249,42879.38686854,3.847251077778862022
0xed7c5e467f8e824cde6b4ed60996bb387f24c55f,4967.541609780054179567108074499419,WETH,FAKT,3000,75587.88878479872602295806611920447,4646815865555646690195,0.00001526203423877019500393003544664443,65522.06503768002049353022808233602,38.069287706906097797,2645838.285790099441505034,226.763666354396178068874198357614,1641285308,13937941,3.856752043031674051,392802.144222772843456856
0x982718e5f2b0a360f1d88e6cc5071ee190727ed8,4954.946373,IMT,USDT,3000,2850.93082,29961306513950558,6.620435297319088684624796744692524,0.1510474697041363534945522924641125,16907.711970559346125629,2850.93082,8.55279246,1645517108,14254677,47190.707504046909822322,4954.946373
0xdadcf64babfb566785f1e9dfc4889c5e593dddc7,4954.708361819535543039438247203321,WETH,sETH2,500,258243.5748955242064371274416309655,575453222530596437346,0.9899419397401894499613641410034344,1.0101602526936582673520294988611,159.065058869629276723,160.370098997666008247,129.1217874477621032185637208154827,1660578095,15346858,0.580692630551728523,3.326417441493545274
0x2b255d3785da10e1753dd4bff781c04ca3c87686,4953.019530310124610432707163537608,DAI,TRIBE,500,10865341.68727977780102983024933577,0,0.8807395543401669919031947204528554,1.135409435254875799334026246977506,10846542.258657125380227129,10762513.886719502272745304,5432.670843639888900514915124667873,1621416069,12463942,2024.345884867839112026,3355.1848221275453694
0xf605e99469ec8463a79cff611a47cc300032672f,4936.467830452414379634023624813728,YEAR,WETH,10000,2093738.538855565629764514604577322,0,340256786540325233929710090404719700000,0.000000000000000000000000000000000000002938956810142818059917450894998607,3901509887.586849183536935638,559.290154569288148746,20937.38538855565629764514604577322,1640928024,13911216,104989379.032739989855736718,2.799016886439703009
0x4947d72ba0fa09194cc1b920d30acd244158895b,4921.079468669064729723870487322848,AGRI,WETH,10000,64108.4819717038552989846227754686,9830675469089989776253,379732.4693291454980933701317691408,0.00000263343295812088535759054109873867,5577959.260950352643166437,22.921931948388572728,641.084819717038552989846227754686,1621311337,12456166,5211649.23179301529264478,2.951458541183426586
0x0a33aa6b33f109099d78f75e4afb94243d2b0f66,4912.983829000000000000000000000001,USDC,UMI,3000,56198.829555,1283420016213,0.9542296506094848906352087315732758,1.047965758935787317052638376450523,56198.829555,49812.67032976,168.596488665,1647943307,14435459,4912.983829,369768.67296293
0x567f5cba32ce673778e553442c7c69972a02cde8,4911.175957991019554562725532750098,CODE,WETH,10000,986908.6960691276563697849901699206,271954498512893348204,4874.9616290149494468486615851028,0.0002051298196991271995637142201074088,1450043.49567762862625096,616.767029242385750295,9869.086960691276563697849901699206,1661185296,15391296,56409.139821681890801225,3.807886896123925783
0x387a79b14ddab98f703ed8ef48bf59b08dffe92a,4907.413984812094980595898463542255,USDC,RPL,10000,560326.666719,0,34.89104633171604559562303855972959,0.02866064807838673438537096863417207,560326.666719,12830.747247525907161612,5603.26666719,1622002300,12507726,3015.495017,58.875680071657142493
0x83ce93aa532381e0ea294edacc5c5ee40f02d58c,4905.654210999999999999999999999999,JRT,USDC,3000,3335123.776936,312381461642491775,49.86911507298492812988039250339382,0.02005249137740804820768981611509553,63067094.565228429885107846,3335123.776936,10005.371330808,1635071141,13479633,1782152.871825682501454764,4905.654211
0x0813ab99b5975737b575daa519702ce113f4e24d,4877.989599583279409198284021757645,WETH,MCALF,3000,19679.09284957330304314291844275534,4684204411525941351068724,0.0000000000004763189149608983365694724824887983,2099433737755.493819531415608437545,7.660286549186853851,12530414946619.163333998150556252,59.03727854871990912942875532826606,1623925076,12651368,3.073009507786124035,6397883551678.790445248821838663
0x149651b136322840bb9228099c5d277c4fcd4317,4853.553370739635650085120955765907,SLR,WETH,10000,18848.83542459554367712471261874734,6029635525899898905756,46224.76686128602253773594298769275,0.00002163342441511621565880524023892369,513085.312509988021415468,11.708821866731353347,188.4883542459554367712471261874734,1655104484,14954719,1014289.806503137088537377,3.577545088965736677
0x3811ac0e8e7355d0753df73025559ffae86fc581,4851.845279591839382293529819566246,PLA,WETH,3000,12098.01737182227389499222358158549,14596354675002488750414,1255605.739698227218483222872103752,0.0000007964283440121422164343919028393979,8147565.520163507740800473,7.73865617034705805,36.29405211546682168497667074475647,1657070520,15085991,8085827.527838113712339112,3.789672146798020521
0x568fc472af20ed448e545b7366fe764babaac97e,4836.181574626500638263854102811886,DAI,DC,10000,400367.1205643913084526975170945324,0,340256786540325233929710090404719700000,0.000000000000000000000000000000000000002938956810142818059917450894998607,400366.465016510787748417,128434009.342527215146444062,4003.671205643913084526975170945324,1661686365,15427541,2042.945912782669732906,636405.252134229077199086
0xe9baec2ac8791a9c25f5abfbf79b2ca914c116e2,4813.563614567673236675138077012857,VGX,WETH,3000,2263488.887146577983455857997744085,0,778.3625800948299993054414175534475,0.001284748297995218783248092886789038,986179.26664014,993.50657749455588258,6790.466661439733950367573993232254,1620593153,12402372,1496.19099458,1.478824290597976671
0xbf394c31598146d9ea3ee9bdb565f42a019f3ab7,4810.87273739200668188742817408336,PUSSY,WETH,10000,1994664.623747303933198418561439612,0,340256786540325233929710090404719700000,0.000000000000000000000000000000000000002938956810142818059917450894998607,14795274937.76232971727761943,497.722963454542981062,19946.64623747303933198418561439612,1620424377,12389703,1067512155.855783338992603502,2.48572186975025459
0xbbdf8c6f272a65fe0294ef775b463b43327190d9,4804.420004440828966278951536761275,ALPHR,WETH,3000,7306418.085344396781072568440838101,224211630879746029132,128230.0347185278753308054275268454,0.000007798484982048520357169072904720756,7243013.942241182942486316,2371.220116345784465809,21919.25425603319034321770532251419,1620501759,12395545,177790.806315817148434482,3.335020905810695987
0x1ea3e54adc553f9fd69c7002f1038f556bb4758e,4802.682203247906264880683591843817,WETH,SWEEP,10000,1226561.851342812545706658972902803,272038,13243758189698406334.81995648508103,0.00000000000000000007550726807877277573033136027693998,373.577636827114435628,109485763.828640094200226726,12265.61851342812545706658972902803,1630021531,13104074,1.652627523029310545,590546.470537339700821964
