id,date,volumeETH,volumeUSD,volumeUSDUntracked,feesUSD,txCount,totalValueLockedUSD
19088,1649203200,720173.0092024092610128631702663346,2358837119.70455128293159487228168,0,3155707.579595725821152661782908965,13486836,4645804369.986943033290030015707251
19087,1649116800,420781.3692068036278053655832151416,1464781045.091193187212773650422095,0,1960249.899608872972678538042918219,13446980,4814561067.05749378381907476692711
19086,1649030400,437598.8566047761369204624850829935,1520801521.944734816152923148081578,0,2162682.636840678835843343077200497,13415483,4847997177.418576687887167462609025
19085,1648944000,332538.0589963168445285021760138335,1161961999.68118296173091119316601,0,1847057.764989729025404421469252844,13380960,4870315882.637527982655273401765768
19084,1648857600,445398.9106091340751177103155634931,1549318417.3817724780563417824151,0,2456850.536054373266447389214068854,13345922,4815042055.775073472339092441538191
19083,1648771200,507217.7020814595589160735121278289,1698979323.404919188070360913160346,0,2698240.545710741054615242204711049,13305762,4821278625.994172582669819742769063
19082,1648684800,482442.7279536337898895374014538513,1620208486.570277850160864323805248,0,2443022.159807399107525889337444527,13262396,4620541897.994749780274046478882085
19081,1648598400,461546.0561538450329575390717873482,1564050490.149461045786433165899019,0,2449920.989784711396079987187558224,13220563,4760119591.827667999002874991328957
19080,1648512000,523614.1677413908305615582754661807,1784541110.171956934996010688120003,0,2901878.847918593669742894932162422,13178834,4683412192.25119081474289595621744
19079,1648425600,536906.3233362808741860176196925499,1800977462.166061201733033446664612,0,3429329.877797198945872352352533994,13130088,4612760460.383294138019198537548186
19078,1648339200,360708.7892251958277840369445017645,1152906909.935253490435428408956409,0,1899550.504548319287847271772412438,13072401,4653372054.632558612253390329289083
19077,1648252800,269623.4218423934250409151246082548,841873033.1488107396110619356330324,0,1319172.49474898390662931886502804,13034238,4495953069.931012245505025664328291
19076,1648166400,547436.5768884131852976074377594361,1713297989.758055830903830632424674,0,2430019.291765127718951917258590832,13001646,4425333113.214033750201193379949859
19075,1648080000,637050.0370050705478931525265976678,1951177994.958743159242256717008873,0,2709366.737404423031168592669917659,12958303,4418862997.482936619369614123461243
19074,1647993600,445229.9943535681613709113303071242,1324087432.604376020913718551820911,0,1977003.650512218614182741269095938,12913822,4338884031.977460245971855070916562
19073,1647907200,522912.8228706216931884257177504604,1565587885.385693805900416760504278,0,2269836.028832540521140874309216671,12874635,4359357745.591057323789242857491461
19072,1647820800,443707.0984369161557020883728257619,1286128936.932224816371131203985207,0,1931331.201092959091497133866591968,12833048,4255557247.61001946504411841159402
19071,1647734400,426633.1266078692516289320791728271,1233046155.420198955229236910705304,0,1972146.227569603917629308819787925,12795293,4274223373.266470188441687220564882
19070,1647648000,418752.5090590241545012696279206353,1236388192.197511505456519659892934,0,2282100.805900944921023675529311439,12753549,4372939474.457735678013415066134792
19069,1647561600,720081.643405359531567160459303757,2053187421.219772020485060393842774,0,5741686.934589622055126664895781527,12708902,4391962169.064334722397219035118954
19068,1647475200,573339.9774575617983936780416034965,1602756832.132923293663902523693341,0,4816147.483295065950054159555727276,12649769,4257424716.757793222844061033700702
19067,1647388800,692567.7209149497320335076374383315,1863158257.75595479431485730517369,0,2382054.874074145896564338998987137,12598762,4229214400.478668188557952523036642
19066,1647302400,457954.0725851339861569982698926486,1180062559.395902748112545290079706,0,1500879.738965173884142162179677567,12561283,4093134631.629471453240468062231777
19065,1647216000,450947.4626473466572291247165723228,1155197865.732747551848406121408377,0,1415213.340939987775467673480678498,12524255,4123625830.041215190956118211656395
19064,1647129600,386967.647225585000457621045442534,992166968.8976235696915766245381213,0,1188252.800669997088602821884575141,12489637,4056419265.936598244226910840681179
19063,1647043200,268784.641008888671970712968550882,694698698.0860275483071438162249951,0,829012.0555081938487295619721238782,12456521,4124608426.878060560652833117541777
19062,1646956800,519165.8050092279382914750224306201,1342984337.208343947435161694089144,0,1636554.240112826111430513116485254,12426854,4140502809.008537731735963975696073
19061,1646870400,519132.8509083919644662037068555529,1357105663.123906863298098410771826,0,1684544.124859597265148481574531886,12390357,4178437997.112927709027037114920908
19060,1646784000,536526.9443569780758648655446406601,1453860229.605447686412389206104616,0,1817715.165985145619080151237604293,12354364,4281601366.133819658526233456982897
19059,1646697600,633455.9984775984331070395863895098,1622609881.057935900011789032955859,0,1831972.070376163540089106302009171,12316398,4123325013.33795037879850847987509
19058,1646611200,621361.2669611826681119020811961481,1578154422.4547127406295944575928,0,1963608.59721546030630750685767196,12283450,4017834749.550066711213142465148719
19057,1646524800,393280.9961626507332999794540915336,1031424183.336374064332493840035637,0,1299841.49016106947205842363367773,12245202,4048735900.875704157696498467151384
19056,1646438400,319760.3837897797406715571676667703,844642421.7494808265862210185939681,0,1019448.29156155288070562210907585,12215459,4162915345.900615501280858524438991
19055,1646352000,699011.2684012979421759301605315127,1885353692.564422850074752644873805,0,2065916.302159575311092321527153337,12186970,4113447623.678181774415015723907795
19054,1646265600,464513.3207909126808590236492495821,1334941739.822428417081180005976499,0,1544640.155618202444507062707013436,12151880,4346575953.560471342398647093105674
19053,1646179200,686207.2718834935811249846200136814,2042550195.893229559728259792805387,0,2455781.844367200384867868845020294,12120594,4414724159.474430598574486554579955
19052,1646092800,685764.3366221754901102318362805367,2020448682.236394876221507588919394,0,2616499.733123241937011958612533444,12086074,4424836710.123996192251341038801742
19051,1646006400,743949.0462608637623807462625274785,2027580248.422102707433365825942121,0,2263175.22994872538091871387842376,12046828,4264269242.473231922036892842521757
19050,1645920000,711376.7275323183685525310548738028,1923968536.596168992091068044243736,0,2203724.631714094377946560005488435,12015253,4021743725.069809165019870432277754
19049,1645833600,438624.0294562875676498751093905849,1224710693.853912742122818249374286,0,1413944.334746832789101790166510177,11981047,4138746231.45315918108335810405208
19048,1645747200,810678.0785710239266288269294536996,2173249768.720698695464713596497756,0,2344867.720047227804314543626232776,11953008,4156072690.688036721353570847224444
19047,1645660800,1417649.125948003323530624684885209,3480067779.153606496885025458587721,0,4096261.050498692020227311192960905,11921006,3968936156.628801613366645907641985
19046,1645574400,552195.9899703965186329148200249414,1474630609.776066715345866997174519,0,1704261.047643310335194393392382695,11866627,4037353138.379383216245513164133121
19045,1645488000,669118.1356258645132786261157557092,1727416467.126476031070416998095252,0,2272730.385381670829820402123709961,11837178,4078969478.680172682123576529286744
19044,1645401600,861068.3185963340903285821190658083,2293321666.582059348455079897887135,0,2798634.70675988128234319330711347,11803521,4022096377.670982208247908180159953
19043,1645315200,608409.5743351000817860735526992111,1614227300.463604187068701339904738,0,2169977.531791796226916585987095317,11771247,4087144451.462182123623810971402429
19042,1645228800,341398.35616774584144584883391483,944106586.1132937957671031466733073,0,1463514.977535999137233074137507684,11733843,4210420324.625746734176627596825566
19041,1645142400,544118.2932258907227437326641599756,1548926691.737670766436227900952653,0,2132145.115815424624576149338809739,11703117,4348782296.264302141662808946740559
19040,1645056000,636698.5115653662374944600269267399,1914718686.165299043761285289990131,0,2570207.396064300823019871825880629,11671046,4440175101.352704338711066652368312
19039,1644969600,486304.504142590408847615419502278,1520098981.453937735779577458183517,0,2001963.202578461126069950153613985,11635413,4502891543.996479745533549863091718
19038,1644883200,507583.7326402656163131168319914503,1563032642.093051188994076970358841,0,2013222.961599785453834912094411355,11606076,4446602323.127632489950326756065365
19037,1644796800,428210.8196451978095036375705656685,1240682606.13073932774408848779508,0,1562647.098470839989011173669644265,11573332,4186601623.20843683296673239833091
19036,1644710400,319672.3024993078845135165626853822,927817584.5586005268256434813888597,0,1322679.304483251359736010218977906,11543099,4121616256.442114675065788334384879
