tick,liquidity,price,pool_id,amount0,amount1,total-amount0,total-amount1
-882480,0,4.745661027280711e-49,WBTC/WETH-0.3,6.573834372116241e+22,3.129091698280985e-26,0.0,2.2158150890897254e-24
-882420,0,4.77421915427277e-49,WBTC/WETH-0.3,6.554143404750755e+22,3.138492597637582e-26,0.0,2.2472000150661012e-24
-882360,0,4.802949136484281e-49,WBTC/WETH-0.3,6.534511418821517e+22,3.1479217406241446e-26,0.0,2.2786792324723426e-24
-882300,0,4.831852008094291e-49,WBTC/WETH-0.3,6.51493823765878e+22,3.157379212094822e-26,0.0,2.310253024593291e-24
-882240,0,4.860928809505255e-49,WBTC/WETH-0.3,6.495423685121289e+22,3.166865097158359e-26,0.0,2.341921675564875e-24
-882180,0,4.890180587380496e-49,WBTC/WETH-0.3,6.475967585595015e+22,3.17637948117901e-26,0.0,2.3736854703766647e-24
-882120,0,4.919608394681882e-49,WBTC/WETH-0.3,6.456569763993349e+22,3.185922449778179e-26,0.0,2.4055446948744465e-24
-882060,0,4.9492132907077215e-49,WBTC/WETH-0.3,6.4372300457524605e+22,3.195494088833685e-26,0.0,2.4374996357627832e-24
-882000,0,4.978996341130901e-49,WBTC/WETH-0.3,6.417948256832973e+22,3.205094484482137e-26,0.0,2.4695505806076045e-24
-881940,0,5.008958618037241e-49,WBTC/WETH-0.3,6.398724223714635e+22,3.2147237231178316e-26,0.0,2.501697817838783e-24
-881880,0,5.039101199964092e-49,WBTC/WETH-0.3,6.3795577733997574e+22,3.2243818913960377e-26,0.0,2.5339416367527433e-24
-881820,0,5.0694251719391554e-49,WBTC/WETH-0.3,6.360448733406824e+22,3.2340690762313536e-26,0.0,2.5662823275150567e-24
-881760,0,5.0999316255195396e-49,WBTC/WETH-0.3,6.34139693177139e+22,3.2437853647997116e-26,0.0,2.598720181163054e-24
-881700,0,5.1306216588310546e-49,WBTC/WETH-0.3,6.3224021970440484e+22,3.253530844538922e-26,0.0,2.6312554896084433e-24
-881640,0,5.1614963766077396e-49,WBTC/WETH-0.3,6.303464358290184e+22,3.2633056031501276e-26,0.0,2.6638885456399442e-24
-881580,0,5.19255689023163e-49,WBTC/WETH-0.3,6.2845832450851375e+22,3.2731097285968996e-26,0.0,2.6966196429259135e-24
-881520,0,5.2238043177727614e-49,WBTC/WETH-0.3,6.265758687516083e+22,3.2829433091077783e-26,0.0,2.729449076016991e-24
-881460,0,5.2552397840294185e-49,WBTC/WETH-0.3,6.246990516178953e+22,3.292806433176279e-26,0.0,2.7623771403487542e-24
-881400,0,5.286864420568626e-49,WBTC/WETH-0.3,6.228278562176793e+22,3.302699189561615e-26,0.0,2.7954041322443702e-24
-881340,0,5.318679365766874e-49,WBTC/WETH-0.3,6.209622657118799e+22,3.3126216672897946e-26,0.0,2.8285303489172683e-24
-881280,0,5.350685764851101e-49,WBTC/WETH-0.3,6.1910226331186525e+22,3.322573955654344e-26,0.0,2.8617560884738114e-24
-881220,0,5.38288476993992e-49,WBTC/WETH-0.3,6.172478322791865e+22,3.3325561442164916e-26,0.0,2.8950816499159762e-24
-881160,0,5.4152775400850835e-49,WBTC/WETH-0.3,6.153989559257841e+22,3.3425683228079003e-26,0.0,2.9285073331440552e-24
-881100,0,5.447865241313211e-49,WBTC/WETH-0.3,6.135556176132823e+22,3.352610581528479e-26,0.0,2.9620334389593398e-24
-881040,0,5.480649046667762e-49,WBTC/WETH-0.3,6.117178007533301e+22,3.362683010749843e-26,0.0,2.9956602690668383e-24
-880980,0,5.513630136251256e-49,WBTC/WETH-0.3,6.098854888072339e+22,3.372785701114951e-26,0.0,3.0293881260779877e-24
-880920,0,5.54680969726776e-49,WBTC/WETH-0.3,6.080586652857929e+22,3.3829187435388286e-26,0.0,3.063217313513376e-24
-880860,0,5.580188924065617e-49,WBTC/WETH-0.3,6.062373137492673e+22,3.3930822292100295e-26,0.0,3.097148135805476e-24
-880800,0,5.613769018180442e-49,WBTC/WETH-0.3,6.044214178070489e+22,3.4032762495904514e-26,0.0,3.1311808983013803e-24
-880740,0,5.647551188378373e-49,WBTC/WETH-0.3,6.026109611177581e+22,3.413500896417518e-26,0.0,3.1653159072655555e-24
-880680,0,5.6815366506995785e-49,WBTC/WETH-0.3,6.008059273888839e+22,3.4237562617038173e-26,0.0,3.199553469882594e-24
-880620,0,5.715726628502036e-49,WBTC/WETH-0.3,5.990063003767487e+22,3.4340424377385586e-26,0.0,3.2338938942599794e-24
