tick,liquidity,price,pool_id,amount0,amount1,total-amount0,total-amount1
-881100,0,5.44786524131321e-51,USDC/WETH-0.3,5.067700856658373e+25,2.769109601203657e-25,0.0,2.4556977055364642e-23
-881040,0,5.480649046667761e-51,USDC/WETH-0.3,5.052521293782247e+25,2.777428986884176e-25,0.0,2.483471995405306e-23
-880980,0,5.513630136251256e-51,USDC/WETH-0.3,5.037387199085147e+25,2.7857733669449383e-25,0.0,2.5113297290747554e-23
-880920,0,5.54680969726776e-51,USDC/WETH-0.3,5.0222984363734905e+25,2.7941428164777765e-25,0.0,2.539271157239533e-23
-880860,0,5.580188924065616e-51,USDC/WETH-0.3,5.007254869862223e+25,2.8025374108004455e-25,0.0,2.5672965313475373e-23
-880800,0,5.613769018180442e-51,USDC/WETH-0.3,4.992256364172095e+25,2.8109572254564688e-25,0.0,2.595406103602102e-23
-880740,0,5.647551188378373e-51,USDC/WETH-0.3,4.977302784330463e+25,2.819402336216943e-25,0.0,2.6236001269642713e-23
-880680,0,5.681536650699578e-51,USDC/WETH-0.3,4.9623939957683185e+25,2.8278728190802398e-25,0.0,2.6518788551550737e-23
-880620,0,5.715726628502036e-51,USDC/WETH-0.3,4.947529864319992e+25,2.8363687502732047e-25,0.0,2.680242542657806e-23
-880560,0,5.750122352505566e-51,USDC/WETH-0.3,4.932710256221283e+25,2.8448902062514613e-25,0.0,2.7086914447203205e-23
-880500,0,5.784725060836132e-51,USDC/WETH-0.3,4.9179350381094014e+25,2.8534372637007604e-25,0.0,2.737225817357328e-23
-880440,0,5.819535999070412e-51,USDC/WETH-0.3,4.90320407702006e+25,2.8620099995366828e-25,0.0,2.765845917352695e-23
-880380,0,5.854556420280636e-51,USDC/WETH-0.3,4.888517240388191e+25,2.870608490906441e-25,0.0,2.794552002261759e-23
-880320,0,5.889787585079684e-51,USDC/WETH-0.3,4.873874396045043e+25,2.8792328151885788e-25,0.0,2.823344330413645e-23
-880260,0,5.925230761666474e-51,USDC/WETH-0.3,4.859275412218374e+25,2.887883049994475e-25,0.0,2.8522231609135896e-23
-880200,0,5.960887225871606e-51,USDC/WETH-0.3,4.844720157530327e+25,2.896559273168493e-25,0.0,2.881188753645275e-23
-880140,0,5.99675826120329e-51,USDC/WETH-0.3,4.830208500996594e+25,2.905261562788885e-25,0.0,2.9102413692731635e-23
-880080,0,6.032845158893548e-51,USDC/WETH-0.3,4.815740312024823e+25,2.9139899971682378e-25,0.0,2.939381269244846e-23
-880020,0,6.069149217944692e-51,USDC/WETH-0.3,4.801315460415009e+25,2.9227446548551328e-25,0.0,2.968608715793397e-23
-879960,0,6.105671745176083e-51,USDC/WETH-0.3,4.786933816355661e+25,2.9315256146332386e-25,0.0,2.9979239719397293e-23
-879900,0,6.142414055271181e-51,USDC/WETH-0.3,4.772595250425186e+25,2.9403329555235687e-25,0.0,3.0273273014949656e-23
-879840,0,6.179377470824852e-51,USDC/WETH-0.3,4.758299633589306e+25,2.9491667567843316e-25,0.0,3.056818969062809e-23
-879780,0,6.216563322390994e-51,USDC/WETH-0.3,4.744046837199966e+25,2.9580270979116783e-25,0.0,3.086399240041926e-23
-879720,0,6.253972948530421e-51,USDC/WETH-0.3,4.729836732995203e+25,2.9669140586410606e-25,0.0,3.1160683806283367e-23
-879660,0,6.29160769585905e-51,USDC/WETH-0.3,4.71566919309659e+25,2.975827718947077e-25,0.0,3.145826657817807e-23
-879600,0,6.329468919096377e-51,USDC/WETH-0.3,4.701544090008396e+25,2.984768159044377e-25,0.0,3.175674339408251e-23
-879540,0,6.367557981114236e-51,USDC/WETH-0.3,4.687461296617906e+25,2.9937354593893106e-25,0.0,3.205611694002144e-23
