id,date,volumeETH,volumeUSD,volumeUSDUntracked,feesUSD,txCount,tvlUSD
19188,1657843200,1013993.490231342410490640460752025,1241793988.575893173964632693834087,0,1405199.720671365023651780359448675,17239724,9881635405.567244698436892771655406
19187,1657756800,873925.057029679218376154659683606,986717122.5652263405692865596327709,0,1192185.420793819306304733752676045,17202219,9617880693.575625705912830801353499
19186,1657670400,1051352.818544156005054771522174016,1117114138.214877515426880555871921,0,1368030.440315551460071667050419638,17165578,9145638504.624748182480132655952552
19185,1657584000,828052.2273486427313947659675997771,885616162.4446384964120590977554653,0,851213.6234567036771102724604841978,17126866,8681591660.177285967724463648978409
19184,1657497600,720547.101822733662778549146635144,819642766.394451728499490015997392,0,929642.5614671107284726145960466448,17090133,9054096599.247678397937169339448581
19183,1657411200,614653.3150963761027260995570617624,724211454.1899922343828492675328718,0,694676.2616560864517320581700627389,17055103,9499743140.421280059087918738244999
19182,1657324800,442198.9514874559085822841992960063,538140373.1754772214210744805757292,0,582854.6638218215431103394716464757,17022369,9915499309.078729120784472025842081
19181,1657238400,968093.5190372894737107986938865323,1192018653.229432998785931071264602,0,1329663.365343718882673308012511051,16992150,9849262541.164567609971727059126805
19180,1657152000,783001.5801614705082941383953276827,942670475.013282401973304229520811,0,966284.1537311805851230815118363945,16955014,10002521950.02074993543028496562294
19179,1657065600,1022605.808110844244686540592576021,1169030888.609283670665692743038199,0,1371456.860729429021151782083748823,16919129,9750029034.197979858635210258430713
19178,1656979200,1017864.171744475344458008540351378,1149134854.631741809527471636317783,0,1271691.667575477931226906389045616,16885124,9393881458.49160968771979439499803
19177,1656892800,855948.4196539508602275266146093329,943539514.8225360579735229882144652,0,1088237.00641523589954409189736264,16847691,9523284166.054844727849647187706508
19176,1656806400,547749.9377541360960732397878164877,582436285.2502769032864980268676857,0,706776.5507818685681696576851623913,16811969,9025598297.924308458410025992459332
19175,1656720000,597999.2432539486104894983599194213,629211348.4353058611398692139329937,0,648743.8469172187222258847139420705,16780017,8967147115.884302034706298818864224
19174,1656633600,1255375.459604972197545944065198761,1338706512.410653440856570105458542,0,1512901.667356164938198473577421449,16748085,8866188306.120148831810191371778415
19173,1656547200,1155536.415873127492674785144003238,1202497274.45999134437327128979769,0,1413429.766122639969911484518198758,16709237,8924247422.98394765523712178604668
19172,1656460800,962106.9403427205493522214214287376,1074902244.87380037808755480473097,0,1243340.464678168156232399082559059,16670765,9012104110.998173339128569465513821
19171,1656374400,745409.6736558290272003247388147061,883404019.1912516560021124502360303,0,1138953.900983004476449837954798147,16637006,9311653644.633358691185874139598797
19170,1656288000,569579.8302704391171395648864142532,685883482.7863753930672338712914175,0,769050.5728314189567889053947205351,16605375,9630635045.435569061077050543720179
19169,1656201600,577548.5676426613515579096012639999,711438376.9550433175915894194932894,0,998256.9013692935695769174220864395,16577941,9646095881.913813012869531428523715
19168,1656115200,550757.1500864328253547756757348915,670266283.3610318533455177679473827,0,917828.8905306487157855775922752005,16549392,9898987291.706123766592619300750343
19167,1656028800,948016.1014556276968758315932230052,1124935731.85117611176875525142906,0,1381608.349961958100706474580911123,16519784,9762706720.800018180433215273104875
19166,1655942400,1048795.674362439271308466837892705,1162900298.298965236608493207737967,0,1380457.535171193738814333994199085,16483849,9252021034.409334395756301432238132
19165,1655856000,1051810.378188908697241896348077928,1140638763.011587922404815696114458,0,1438548.039056951777715363472282457,16451740,8583807441.146847671517220928507851
19164,1655769600,1144968.244219660116311785806923803,1312043103.671118621881346729858848,0,1649535.854492896379197698744368028,16413536,9026742339.982334237624069197373032
19163,1655683200,1441339.85758285160022831798351526,1597854184.393926717086428748438135,0,2062753.580535785358912115269557561,16371853,9023904944.178130594686196300898305
19162,1655596800,1794213.503218222703785014842940766,1860450300.322705509948077972964964,0,2332568.895252638344506047774185182,16322807,8947064037.327297754105765071333952
19161,1655510400,1989122.627604825299990872927919207,1944939282.192189480954246426890825,0,2419255.553852483086132008959671307,16270318,8194329919.251022972096224715864066
19160,1655424000,1302377.287413924658749369127130762,1412023787.928405484082135437278546,0,1712752.762087685500343346378505059,16218001,8844019335.208433658261417891347076
19159,1655337600,1523392.082679784310178708855052335,1741088598.647687953541588067268745,0,2088299.49423254398465410980679492,16179769,8636081431.470941099936750260152971
19158,1655251200,2843553.243362523805122961619620717,3224551144.910350865514841485485638,0,3955395.374317200586191013745964082,16130962,9557774370.936825082115407942944179
19157,1655164800,2387490.214670005682348589368167246,2823531297.534739246116990336759885,0,3205599.094738890105229292153309351,16066365,9358447585.927321260520024981334526
19156,1655078400,3183486.100873874731943547015331989,4037967025.06932189631561803963084,0,4442113.650843047241594690577576807,16007113,9364717803.891686034381365797123002
19155,1654992000,1179488.191589713253669664553685403,1737877846.515933375121079815981052,0,1830321.132419069849667384300465719,15936843,10800581751.33615557961862036247019
19154,1654905600,980355.1138499194353404997600836345,1537878352.009019679368732232600123,0,1719038.347364806204928824484013117,15889176,11447322329.3903932583530303296115
19153,1654819200,815411.8616479971618055853714714573,1403555945.776258253195495952291562,0,1500198.46051713770078940602965228,15847941,12351956039.90624275794815902005446
19152,1654732800,409194.6422998840625255032639259869,735737582.2396525628755038149120926,0,880231.9003139656803051851052864745,15815030,13091161275.57908475403406933619634
19151,1654646400,687013.7573599649279734486384530846,1238904113.002634548489825958772551,0,1394117.63697598554265870443411412,15786445,13164280929.56198969728387469065983
